Time 	 f_s1 	 f_s2 	 f_s3 	 W_s1 	 W_s2 	 W_s3 	 OdoMeasure 	 Heading 	 Roll 	 Pitch 	 Latitude 	 Longitude 	 Altitude 	 OdoLatitude 	 OdoLongitude 	 OdoAltitude
1.5    -0.0270078287705306    0.334830312924874    9.81362252653893    0.00919394951749067    0.00148794795948908    -0.0270572372889204    0.322057108020965    0.826197468015606    0.00274843899616984    0.0137381548646048    0.959931114441852    0.645771870799593    100.002271705914    0.95993138508532    0.64577218012866    99.7311506825094    9.81937003349302
1.6    -0.0288072974404589    0.343809273768501    9.81348865551167    0.00919705195204847    0.00146312733993934    -0.0270438299024296    0.341788369896973    0.828911339513824    0.00293160146055733    0.0146531042246251    0.959931117831286    0.645771877232643    100.00274058847    0.959931388023552    0.645772187877642    99.7335448849079    9.81955163278708
1.7    -0.0306065637620131    0.352786352708285    9.8133462608877    0.00920003526986151    0.00143833592388394    -0.027029666717059    0.361552260423888    0.831624034418412    0.00311475099658713    0.0155678740843018    0.959931121421838    0.645771884084632    100.003269874809    0.959931391160797    0.645772196042652    99.7359993577298    9.81973318417976
1.8    -0.0324056152891628    0.361761432337826    9.81319534957343    0.00920289906082618    0.00141357603971644    -0.0270147482111165    0.381343641609555    0.834335479378264    0.00329788679657009    0.0164824532377156    0.959931125212221    0.645771891357479    100.003863216259    0.95993139449579    0.645772204625561    99.7385177275335    9.81991468530755
1.9    -0.0342044395841442    0.370734395289359    9.81303592889066    0.00920564291670051    0.00138885001274211    -0.0269990748876182    0.401158383046415    0.837045601076073    0.00348100805287761    0.0173968304812835    0.959931129201145    0.645771899053089    100.004524262472    0.95993139802726    0.645772213628231    99.7411036191964    9.8200961338083
2    -0.0360030242179372    0.379705124236013    9.81286800657618    0.00920826643113232    0.0013641601649941    -0.0269826472742633    0.42099312761989    0.839754326230314    0.00366411395794527    0.0183109946138954    0.959931133387315    0.645771907173353    100.005256661326    0.959931401753934    0.64577222305251    99.7437606558198    9.82027752732123
2.1    -0.0378013567707285    0.388673501894072    9.81269159078137    0.00921076919968726    0.00133950881505    -0.0269654659234073    0.440845119405196    0.842461581597224    0.0038472037042763    0.0192249344370524    0.959931137769433    0.645771915720153    100.006064058835    0.959931405674533    0.645772232900234    99.7464924586339    9.82045886348696
2.2    -0.0395994248323913    0.39763941102523    9.81250669007175    0.00921315081987682    0.0013148982778487    -0.0269475314120344    0.460712075389043    0.845167293972783    0.00403027648444524    0.0201386387550029    0.959931142346198    0.645771924695358    100.006950099047    0.959931409787779    0.645772243173227    99.7493026469031    9.82064013994762
2.3    -0.0413972160029501    0.406602734438852    9.81231331342654    0.00921541089118631    0.00129033086450747    -0.026928844341728    0.480592088574981    0.847871390194693    0.00421333149110141    0.0210520963748805    0.959931147116305    0.645771934100823    100.007918423951    0.959931414092388    0.645772253873304    99.752194837831    9.82082135434678
2.4    -0.0431947178930498    0.415563354994222    9.81211147023821    0.00921754901510266    0.00126580888213946    -0.0269094053386406    0.500483553896044    0.850573797144357    0.00439636791697254    0.0219652961068407    0.959931152078445    0.645771943938392    100.008972673384    0.959931418587073    0.645772265002264    99.7551726464658    9.8210025043296
2.5    -0.0449919181244258    0.424521155602792    9.81190117031194    0.00921956479514231    0.00124133463367147    -0.0268892150534621    0.520385110927522    0.853274441748856    0.00457938495486827    0.0228782267641984    0.959931157231309    0.645771954209895    100.010116484935    0.959931423270545    0.645772276561894    99.7582396856052    9.82118358754278
2.6    -0.0467888043303717    0.433476019230436    9.81168242386511    0.00922145783687892    0.00121691041766214    -0.0268682741613863    0.54029559913    0.855973250982923    0.00476238179768378    0.0237908771635642    0.95993116257358    0.645771964917151    100.011353493848    0.959931428141512    0.645772288553972    99.7613995657023    9.82136460163464
2.7    -0.0485853641562034    0.442427828899685    9.81145524152681    0.00922322774797104    0.00119253852812046    -0.0268465833620769    0.560214022546187    0.858670151870923    0.00494535763840328    0.0247032361249824    0.959931168103944    0.645771976061965    100.012687332926    0.95993143319868    0.645772300980258    99.7646558947704    9.82154554425519
2.8    -0.0503815852597254    0.451376467691978    9.81121963433724    0.00922487413818968    0.00116822125432469    -0.0268241433796319    0.580139521706845    0.861365071488818    0.00512831167010361    0.0256152924720669    0.959931173821079    0.645771987646129    100.014121632442    0.95993143844075    0.645772313842505    99.7680122782892    9.8217264130561
2.9    -0.0521774553116951    0.460321818749893    9.81097561374711    0.00922639661944586    0.00114396088064167    -0.0268009549625465    0.600071351088836    0.864057936966148    0.00531124308595778    0.0265270350321389    0.959931179723662    0.645771999671422    100.015660020036    0.959931443866424    0.64577232714245    99.7714723191095    9.82190720569078
3    -0.0539729619962859    0.469263765279383    9.81072319161709    0.00922779480581806    0.00111975968634658    -0.026777018883675    0.620008860888753    0.866748675487993    0.00549415107923855    0.0274384526363635    0.95993118581037    0.64577201213961    100.017306120626    0.959931449474399    0.645772340881818    99.7750396173596    9.82208791981442
